Q_10_25_5_601	Q_10_25_5_602	Q_10_25_5_603	Q_10_25_5_604	Q_10_25_5_605	Q_10_25_5_606
0	0	0	0	0	0
0	0	0	0	0	0
0	2209.38713139974	2209.47216903598	1972.04766506834	2215.17895554809	0
0	0	0	0	0	0
0	0	0	0	0	0
823.260377311071	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	758.848989507474	0	823.260595689883	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
793.175661304616	738.07844347347	0	0	799.865622286371	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	1420.28755532175	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
708.322200846871	753.469572107246	754.37813509345	713.476647162704	713.162762644232	0
0	0	0	0	0	0
0	0	0	0	0	0
1700.95677096578	1642.19942801219	1623.54988477441	1693.31941037136	1618.9291078098	1618.42964912661
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1618.4987257871	2070.30696435584	2069.27600913389	1619.04381076338	1626.38991530576	2069.70068530407
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1937.73062088421	2216.22428011039	2215.86965556865	1932.63390600003	1930.87333266464	1929.81253320027
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2069.51328001524	1929.88277666841	2370.3065315051	2069.25265494177	2070.29911484627	2068.46048739051
0	0	0	0	0	0
0	0	0	0	0	0
1799.88622885723	2068.42630490092	2068.54988990105	2069.32746068173	2069.33744531604	1800.67430128801
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1929.7957844907	2068.56785544943	2215.27235619853	1930.16574412484	1930.28292840428	1929.18343841437
0	0	0	0	0	0
0	0	0	0	0	0
1422.75349442463	1929.35371944503	1929.09732487684	1754.73166947303	1930.28996785965	1758.02964758681
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1804.1316718535	1929.05875844685	1570.46879972112	1804.14205612286	2068.42105308013	1416.85241941451
0	0	0	0	0	0
0	0	0	0	0	0
1351.59280120133	1416.85241941451	1414.17896949242	0	1804.08935666793	1393.35335025294
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1493.37956722083	0	0	1482.17333581422	1498.02160450889	723.560739711588
0	0	0	0	0	0
0	0	0	0	0	0
722.271755255416	1325.23042734475	1329.4379609883	1279.0164448032	1489.6148031784	708.322200846872
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1399.4599522784	0	0	1407.87840983693	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	680.937067263327	0	697.455036844198	745.761828978605	0
0	0	0	0	0	0
0	0	0	0	0	0
684.086957567123	681.654045595928	713.515608341229	682.643266629281	695.639428242895	688.913697550364
0	0	0	0	0	0
0	0	0	0	0	0
1709.34233145685	1707.22922800332	1626.62107565361	1712.13133715032	1700.74632306548	1804.25255318298
0	0	0	0	0	0
0	0	0	0	0	0
1709.34660274824	0	0	1709.39509300966	1707.68849262933	1935.48577059347
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	2069.65861854447	2069.65861854448	0	1691.4010814196	1650.85029457841
0	0	0	0	0	0
0	0	0	0	0	0
1801.87913334721	2070.94297092399	2069.0273188274	761.750093040503	1804.06060844621	1799.92531771746
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1933.0961583559	2069.09486138333	2215.91825835416	1932.65663851024	0	1931.21004099781
0	0	0	0	0	0
0	0	0	0	0	0
1494.934359942	1523.14483869268	1931.24040236896	1487.68730190912	1568.30540118383	1422.7514690935
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1497.65293386661	1930.80063565865	2068.54783982299	1445.65782629128	2069.11285078366	1491.11049254002
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	1409.09470999086	1799.69875748492	1351.58779461495
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	1492.9408458241	0	1422.76314994738	1931.25169906129	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1343.05680693635	1417.24969655266	1413.41777006393	1343.05703385041	1422.76314994738	1278.52432239451
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1344.12536233425	1417.81383854276	1418.04932092752	1351.59280120133	1799.82773490301	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1275.59742701166	1337.51387274903	1337.36481665619	1275.59749747644	1351.59625768759	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1270.35630425544	1319.10224518705	1328.17329308509	1278.5226989523	1413.17276218025	667.401809780688
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
689.136189892375	0	667.401814495985	686.633670471246	722.271755255416	676.183017379334
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
696.907328669205	689.588616418222	680.937067263327	704.858326041478	0	0
0	0	0	0	0	0
0	0	0	0	0	0
667.668027970041	689.740170254634	689.615124235059	681.954140973877	702.694345835547	675.879719158348
0	0	0	0	0	0
0	0	0	0	0	0
1707.42794106353	1803.55169090935	1803.73872224407	1708.34345982877	1710.0182007839	1801.87697519377
0	0	0	0	0	0
0	0	0	0	0	0
725.614934215542	1803.55277209542	1729.64983236968	1709.43871483345	1709.34919238815	1932.6486462858
0	0	0	0	0	0
0	0	0	0	0	0
719.569352227893	1435.29279199353	1932.78163187502	1707.61786426345	0	1494.92995659942
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1802.40986578132	1934.53466745439	2069.65746496166	1801.88671629773	1804.55622602091	1804.63106505647
0	0	0	0	0	0
0	0	0	0	0	0
1563.20633407787	1478.89477513215	1494.73097231463	2993.4097251755	1431.61422148605	1413.7442453731
0	0	0	0	0	0
